method,full_sid_duplicate_count,total_token_vocab_size,c1_vocab_size,c2_vocab_size,c3_vocab_size,c4_vocab_size,compact_c4_vocab_size,max_prefix3_bucket_size,index_all_ratio_freq_le_5,exposure_all_ratio_freq_le_5,per_position_index_low_freq,per_position_exposure_low_freq,prefix1_mean_bucket_size,prefix2_mean_bucket_size,prefix3_mean_bucket_size,c1c2_singleton_ratio,c1c2c3_singleton_ratio,prefix1_lift,prefix2_lift,prefix3_lift
original,13,965,197,256,256,256,256,27,0.046632124352331605,0.007253886010362694,"[0.22842639593908629, 0.0, 0.0, 0.0]","[0.03553299492385787, 0.0, 0.0, 0.0]",61.4263959390863,1.5257848947169335,1.0346272229822162,0.7176900769133779,0.977000683994528,10.826020719073735,314.48148148148147,1014.0
cr_sid_v0,0,846,256,256,256,78,78,78,0.10047281323877069,0.001182033096926714,"[0.01953125, 0.15625, 0.00390625, 0.5]","[0.0, 0.0, 0.0, 0.01282051282051282]",47.26953125,2.8928998326559885,1.6337248548670178,0.6363853693521396,0.8150398271904955,3.163560209424084,4.241610738255034,31.824742268041234
v2_st5,0,786,256,256,256,18,18,18,0.1984732824427481,0.008905852417302799,"[0.00390625, 0.5390625, 0.03125, 0.5]","[0.0, 0.02734375, 0.0, 0.0]",47.26953125,1.8503058103975536,1.1470142180094787,0.5571865443425077,0.9014218009478673,13.650406504065039,102.83999999999999,322.66666666666663
plain_st5_rqvae,0,377,105,167,90,15,15,15,0.07161803713527852,0.002652519893899204,"[0.0380952380952381, 0.03592814371257485, 0.15555555555555556, 0.2]","[0.0, 0.0, 0.011111111111111112, 0.0]",115.24761904761905,1.9795517749059381,1.0928384358349137,0.572059545231474,0.9353382100605075,8.056208053691275,42.17857142857142,70.66666666666666
Beauty_cf_only_lam001_st5_rqvae,0,677,152,256,256,13,13,13,0.019202363367799114,0.0014771048744460858,"[0.02631578947368421, 0.0, 0.0, 0.6923076923076923]","[0.006578947368421052, 0.0, 0.0, 0.0]",79.61184210526316,1.3101992204417496,1.0142485960942083,0.7928757037678649,0.9891040147514877,26.699242424242424,254.85714285714283,159.0
